AREAS;o3G-FREE MOBILE;o3G-BOUYGUES TELECOM;o3G-SFR;o3G-ORANGE;o4G-FREE MOBILE;o4G-BOUYGUES TELECOM;o4G-SFR;o4G-ORANGE;o5G-FREE MOBILE;o5G-BOUYGUES TELECOM;o5G-SFR;o5G-ORANGE
531850000;46.967671627532184;51.111877947608555;67.343352701241;69.20824554527536;422.7090446477896;460.00690152847704;606.090174311169;622.8742099074783;0.0;0.0;0.0;0.0
531790000;7.031940451374356;7.652405785319153;10.082561676602937;10.361771076878094;63.287464062369196;68.87165206787238;90.74305508942643;93.25593969190285;0.0;0.0;0.0;0.0
532030000;10.69017536827429;11.633426136063198;15.327824976569753;15.752287822074761;96.2115783144686;104.70083522456879;137.95042478912777;141.77059039867285;0.0;0.0;0.0;0.0
530370000;14.876821995393104;16.189482759692496;21.330737419865113;21.921434763799837;133.8913979585379;145.70534483723247;191.976636778786;197.29291287419855;0.0;0.0;0.0;0.0
530380000;3.0078820427844066;3.273283399500678;4.312772046639407;4.432202657161729;27.070938385059655;29.4595505955061;38.81494841975466;39.889823914455555;0.0;0.0;0.0;0.0
532020000;6.503528741155473;7.077369512433897;9.324912533274391;9.583140880349681;58.53175867039925;63.69632561190508;83.92421279946952;86.24826792314714;0.0;0.0;0.0;0.0
530470000;5.467028848033799;5.949413746389722;7.838754598283756;8.05582780254392;49.20325963230418;53.5447237175075;70.5487913845538;72.50245022289529;0.0;0.0;0.0;0.0
531320000;5.8328523397238365;6.347515781464175;8.363280928280501;8.594879477063653;52.49567105751452;57.12764203317758;75.26952835452451;77.35391529357288;0.0;0.0;0.0;0.0
532690000;12.295734026247066;13.380651734445339;17.629912758221895;18.118125726911117;110.66160623622359;120.42586561000805;158.66921482399707;163.06313154220007;0.0;0.0;0.0;0.0
532100000;31.501467339971825;34.28100857585169;45.167545083047834;46.41833863919378;283.5132060597464;308.5290771826653;406.5079057474305;417.765047752744;0.0;0.0;0.0;0.0
530640000;20.343850843426967;22.138896506082286;29.169492018148958;29.977262566343853;183.09465759084267;199.2500685547406;262.5254281633406;269.7953630970947;0.0;0.0;0.0;0.0
532080000;9.958528384894318;10.837222065914407;14.278772316576413;14.674184473035451;89.62675546404886;97.53499859322966;128.50895084918773;132.06766025731906;0.0;0.0;0.0;0.0
