AREAS;o3G-FREE MOBILE;o3G-BOUYGUES TELECOM;o3G-SFR;o3G-ORANGE;o4G-FREE MOBILE;o4G-BOUYGUES TELECOM;o4G-SFR;o4G-ORANGE;o5G-FREE MOBILE;o5G-BOUYGUES TELECOM;o5G-SFR;o5G-ORANGE
920440109;55.556321913446;60.45835031757359;79.65796156707331;81.86387434893072;500.00689722101396;544.1251528581623;716.9216541036598;736.7748691403765;0.0;0.0;0.0;0.0
920090106;47.35903456602319;51.537772910084065;67.90449809098914;69.78493034581653;426.23131109420865;463.8399561907566;611.1404828189022;628.0643731123488;0.0;0.0;0.0;0.0
920630104;43.02731867818551;46.82384679684893;61.693581928280686;63.402019581679234;387.2458681036695;421.4146211716405;555.2422373545262;570.6181762351131;0.0;0.0;0.0;0.0
920440121;52.295976060077656;56.910326888908045;74.9832009684937;77.05965884146738;470.6637845406989;512.1929420001725;674.8488087164433;693.5369295732064;0.0;0.0;0.0;0.0
920400505;104.82712999394415;114.07658264046864;150.30360550602285;154.4658591969589;943.4441699454973;1026.6892437642177;1352.7324495542057;1390.1927327726298;0.0;0.0;0.0;0.0
920750103;56.79712301825832;61.80863387281053;81.43705138647333;83.69223127102183;511.1741071643248;556.2777048552948;732.9334624782599;753.2300814391964;0.0;0.0;0.0;0.0
920040702;48.268244745419054;52.52720751707368;69.20814503938762;71.12467828663219;434.4142027087714;472.7448676536631;622.8733053544885;640.1221045796897;0.0;0.0;0.0;0.0
920510402;59.33294930027905;64.56820953265661;85.0729787761354;87.4288458807053;533.9965437025113;581.1138857939095;765.6568089852185;786.8596129263477;0.0;0.0;0.0;0.0
920020306;40.057377481250484;43.59185196489024;57.43521035914592;59.02572387678381;360.5163973312543;392.32666768401214;516.9168932323132;531.2315148910543;0.0;0.0;0.0;0.0
920040602;50.75970161463291;55.23849881592405;72.78045452098101;74.79591326156202;456.83731453169617;497.1464893433165;655.0240906888291;673.1632193540582;0.0;0.0;0.0;0.0
920510406;44.191330683805305;48.09056574414107;63.36256973045614;65.11722550760723;397.72197615424767;432.8150916972696;570.2631275741052;586.0550295684651;0.0;0.0;0.0;0.0
920730102;92.13224551942042;100.26156130054576;132.10138144328664;135.75957354479303;829.1902096747838;902.3540517049119;1188.9124329895797;1221.8361619031373;0.0;0.0;0.0;0.0
920480101;48.833169819808646;53.14197892155647;70.01814790340211;71.95711199918863;439.4985283782778;478.2778102940083;630.163331130619;647.6140079926977;0.0;0.0;0.0;0.0
920400102;43.770484960517166;47.632586574680445;62.759151230153286;64.49709695652676;393.93436464465447;428.69327917212405;564.8323610713796;580.4738726087409;0.0;0.0;0.0;0.0
920120203;63.6980286300075;69.31844292089052;91.331732226849;93.86091865774635;573.2822576700675;623.8659862880147;821.985590041641;844.7482679197171;0.0;0.0;0.0;0.0
920350112;38.93329591816694;42.36858673447579;55.82347576501878;57.36935663235776;350.3996632635024;381.3172806102822;502.411281885169;516.3242096912198;0.0;0.0;0.0;0.0
920400201;76.09736405997445;82.81183735938397;109.11019111540455;112.13170410013883;684.8762765397701;745.3065362344557;981.9917200386409;1009.1853369012495;0.0;0.0;0.0;0.0
920440107;43.25338322538639;47.069858215861665;62.01771859522314;63.73513234093701;389.28044902847745;423.628723942755;558.1594673570082;573.6161910684331;0.0;0.0;0.0;0.0
920510304;53.95370908643009;58.714330476409216;77.3600975871608;79.5023772126514;485.5833817778707;528.428974287683;696.2408782844471;715.5213949138625;0.0;0.0;0.0;0.0
920730115;40.832310297591405;44.435161206202416;58.54632726492885;60.1676101738038;367.4907926783226;399.9164508558217;526.9169453843597;541.5084915642342;0.0;0.0;0.0;0.0
920220105;47.27941656829426;51.45112979490847;67.79033993248075;69.66761088445713;425.51474911464834;463.0601681541762;610.1130593923267;627.0084979601143;0.0;0.0;0.0;0.0
920500511;56.90507811594781;61.92611442029615;81.59183994566047;83.85130628261722;512.1457030435303;557.3350297826654;734.3265595109442;754.6617565435549;0.0;0.0;0.0;0.0
920510303;41.97081429231424;45.67412143575373;60.17874108089173;61.84522929543951;377.7373286308281;411.06709292178357;541.6086697280256;556.6070636589556;0.0;0.0;0.0;0.0
920240102;42.05346608648232;45.76406603528958;60.29724916811802;61.967019145081295;378.4811947783408;411.87659431760625;542.6752425130622;557.7031723057316;0.0;0.0;0.0;0.0
920240101;48.03228252073099;52.2704250960896;68.86981684957752;70.77698100848889;432.2905426865788;470.43382586480647;619.8283516461977;636.9928290764001;0.0;0.0;0.0;0.0
920120706;43.879266430375274;47.750966409526036;62.91512466119984;64.65738965181768;394.9133978733774;429.7586976857343;566.2361219507985;581.9165068663591;0.0;0.0;0.0;0.0
920730110;45.38359476345264;49.38802959552199;65.07206602112694;66.87406169555815;408.4523528710737;444.49226635969796;585.6485941901425;601.8665552600233;0.0;0.0;0.0;0.0
920630706;34.12313763481977;37.13400272024505;48.9265576381607;50.28144692660207;307.1082387133779;334.20602448220546;440.33901874344633;452.53302233941866;0.0;0.0;0.0;0.0
