TIME_SLOTS;AREAS;FREE MOBILE;BOUYGUES TELECOM;SFR
0;531700000;False;False;False
0;531470101;False;False;False
0;531010000;False;False;False
0;532610000;False;False;False
0;530620202;False;False;False
0;531810000;False;False;False
0;531200000;False;False;False
0;530960102;False;False;False
0;530540101;False;False;False
0;531930000;False;False;False
0;531000000;False;False;False
0;532180000;False;False;False
0;530910000;False;False;False
0;532420000;False;False;False
0;530050000;False;False;False
0;531850000;False;False;False
0;530780000;False;False;False
0;531470106;False;False;False
0;532060000;False;False;False
0;531110000;False;False;False
0;531900000;False;False;False
0;531790000;False;False;False
0;530420000;False;False;False
0;531950000;False;False;False
0;531470104;False;False;False
0;530150000;False;False;False
0;531840000;False;False;False
0;532450000;False;False;False
0;531760000;False;False;False
0;530230000;False;False;False
0;532030000;False;False;False
0;532130000;False;False;False
0;532760000;False;False;False
0;532300000;False;False;False
0;531390000;False;False;False
0;531720000;False;False;False
0;531990000;False;False;False
0;530840101;False;False;False
0;530220000;False;False;False
0;530970103;False;False;False
0;532010101;False;False;False
0;532580000;False;False;False
0;531730000;False;False;False
0;532670000;False;False;False
0;531360000;False;False;False
0;531680000;False;False;False
0;531520000;False;False;False
0;531300112;False;False;False
0;531220000;False;False;False
0;532340000;False;False;False
0;530160000;False;False;False
0;532710000;False;False;False
0;532700000;False;False;False
0;530620201;False;False;False
0;532200000;False;False;False
0;532220000;False;False;False
0;531290000;False;False;False
0;531560000;False;False;False
0;531300101;False;False;False
0;530560000;False;False;False
0;530370000;False;False;False
0;531920000;False;False;False
0;530250000;False;False;False
0;531160000;False;False;False
0;530380000;False;False;False
0;532500000;False;False;False
0;531970000;False;False;False
0;530620105;False;False;False
0;532530000;False;False;False
0;531270000;False;False;False
0;531450000;False;False;False
0;530300000;False;False;False
0;531570000;False;False;False
0;531600000;False;False;False
0;530390000;False;False;False
0;531150000;False;False;False
0;531210000;False;False;False
0;531630000;False;False;False
0;532110000;False;False;False
0;531020000;False;False;False
0;530400000;False;False;False
0;532160000;False;False;False
0;530450000;False;False;False
0;531300108;False;False;False
0;531090000;False;False;False
0;531300111;False;False;False
0;530670000;False;False;False
0;530760000;False;False;False
0;532020000;False;False;False
0;530570000;False;False;False
0;531130000;False;False;False
0;530340000;False;False;False
0;530660000;False;False;False
0;532400000;False;False;False
0;530490000;False;False;False
0;532590000;False;False;False
0;530620103;False;False;False
0;531300104;False;False;False
0;532290000;False;False;False
0;530470000;False;False;False
0;530870000;False;False;False
0;530280000;False;False;False
0;530690000;False;False;False
0;532240000;False;False;False
0;531300116;False;False;False
0;531620000;False;False;False
0;531120000;False;False;False
0;531180000;False;False;False
0;531300103;False;False;False
0;530830000;False;False;False
0;530680000;False;False;False
0;531330000;False;False;False
0;531910000;False;False;False
0;531320000;False;False;False
0;530980000;False;False;False
0;530590000;False;False;False
0;531440000;False;False;False
0;530010000;False;False;False
